國民所得統計常用資料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"期中
人口",平均匯率,"經濟
成長","名目國內生產
毛額(GDP)",,,,"名目國民所得
毛額(GNI)",,,,"名目國民所得
(NI)",,,,,,,,,,,,,,,,,,,,,
,,,,,,"平均每人
GDP",,,,"平均每人
GNI",,,,"平均每人
所　得",,,,,,,,,,,,,,,,,,,
,人,元/美元,％,百萬元,百萬美元,元,美元,百萬元,百萬美元,元,美元,百萬元,百萬美元,元,美元,,,,,,,,,,,,,,,,,,
  Ⅳ,"14,326,228",40.00,7.27,"54,689","1,368","3,818",96,"54,623","1,366","3,816",95,"51,185","1,279","3,576",91,,,,,,,,,,,,,,,,,,
59年,"14,582,944",40.00,11.51,"231,427","5,786","15,870",397,"231,015","5,775","15,841",396,"216,219","5,405","14,827",371,,,,,,,,,,,,,,,,,,
  Ⅰ,"14,456,789",40.00,8.07,"53,504","1,338","3,701",93,"53,479","1,337","3,699",92,"50,103","1,253","3,466",87,,,,,,,,,,,,,,,,,,
  Ⅱ,"14,539,891",40.00,13.14,"57,206","1,430","3,934",98,"57,084","1,427","3,926",98,"53,497","1,337","3,679",92,,,,,,,,,,,,,,,,,,
  Ⅲ,"14,615,985",40.00,11.32,"57,392","1,435","3,927",98,"57,406","1,435","3,928",98,"53,606","1,340","3,668",92,,,,,,,,,,,,,,,,,,
  Ⅳ,"14,704,093",40.00,13.32,"63,325","1,583","4,308",108,"63,046","1,576","4,288",108,"59,013","1,475","4,014",100,,,,,,,,,,,,,,,,,,
60年,"14,913,564",40.00,13.43,"269,114","6,728","18,045",451,"268,992","6,725","18,037",451,"251,214","6,280","16,845",421,,,,,,,,,,,,,,,,,,
  Ⅰ,"14,795,178",40.00,13.58,"62,998","1,575","4,258",106,"63,017","1,575","4,260",106,"58,933","1,473","3,984",100,,,,,,,,,,,,,,,,,,
  Ⅱ,"14,874,437",40.00,16.26,"67,093","1,677","4,512",113,"66,951","1,674","4,502",113,"62,688","1,567","4,215",105,,,,,,,,,,,,,,,,,,
  Ⅲ,"14,947,675",40.00,14.54,"66,623","1,666","4,457",111,"66,565","1,664","4,454",111,"62,052","1,551","4,152",104,,,,,,,,,,,,,,,,,,
  Ⅳ,"15,028,940",40.00,9.76,"72,400","1,810","4,818",121,"72,459","1,812","4,821",121,"67,541","1,689","4,494",112,,,,,,,,,,,,,,,,,,
61年,"15,220,495",40.00,13.87,"322,536","8,063","21,191",530,"322,604","8,065","21,195",530,"299,947","7,499","19,707",493,,,,,,,,,,,,,,,,,,
  Ⅰ,"15,109,925",40.00,14.41,"75,626","1,891","5,004",125,"75,366","1,884","4,987",125,"70,188","1,755","4,644",116,,,,,,,,,,,,,,,,,,
  Ⅱ,"15,177,272",40.00,14.02,"80,497","2,012","5,303",133,"80,563","2,014","5,307",133,"75,153","1,879","4,951",124,,,,,,,,,,,,,,,,,,
  Ⅲ,"15,243,614",40.00,12.29,"80,079","2,002","5,252",131,"79,958","1,999","5,244",131,"74,159","1,854","4,864",122,,,,,,,,,,,,,,,,,,
  Ⅳ,"15,323,024",40.00,14.73,"86,334","2,158","5,632",141,"86,717","2,168","5,657",141,"80,447","2,011","5,248",131,,,,,,,,,,,,,,,,,,
62年,"15,505,121",38.25,12.83,"418,495","10,941","26,991",706,"418,379","10,938","26,983",705,"385,840","10,087","24,885",651,,,,,,,,,,,,,,,,,,
  Ⅰ,"15,398,584",39.00,14.36,"92,374","2,367","6,001",154,"92,409","2,367","6,003",154,"85,654","2,194","5,564",143,,,,,,,,,,,,,,,,,,
  Ⅱ,"15,466,929",38.00,10.46,"98,004","2,577","6,338",167,"97,984","2,577","6,337",167,"90,552","2,381","5,857",154,,,,,,,,,,,,,,,,,,
  Ⅲ,"15,537,283",38.00,14.93,"105,494","2,773","6,793",179,"105,138","2,764","6,769",178,"96,495","2,537","6,213",163,,,,,,,,,,,,,,,,,,
  Ⅳ,"15,608,643",38.00,11.80,"122,623","3,224","7,859",206,"122,848","3,230","7,874",206,"113,139","2,975","7,251",191,,,,,,,,,,,,,,,,,,
63年,"15,784,817",38.00,2.67,"560,129","14,740","35,485",934,"559,952","14,736","35,474",934,"508,358","13,378","32,206",848,,,,,,,,,,,,,,,,,,
  Ⅰ,"15,676,296",38.00,7.01,"138,058","3,633","8,805",232,"138,229","3,638","8,816",232,"125,926","3,314","8,031",211,,,,,,,,,,,,,,,,,,
  Ⅱ,"15,744,624",38.00,3.47,"142,849","3,759","9,071",239,"142,329","3,746","9,038",238,"129,535","3,409","8,225",217,,,,,,,,,,,,,,,,,,
  Ⅲ,"15,812,952",38.00,0.11,"137,738","3,625","8,708",229,"137,527","3,619","8,695",229,"124,349","3,272","7,862",207,,,,,,,,,,,,,,,,,,
  Ⅳ,"15,889,319",38.00,0.36,"141,484","3,723","8,901",234,"141,867","3,733","8,925",235,"128,548","3,383","8,088",213,,,,,,,,,,,,,,,,,,
64年,"16,075,128",38.00,6.19,"601,827","15,838","37,438",985,"598,483","15,750","37,230",980,"538,409","14,169","33,493",881,,,,,,,,,,,,,,,,,,
  Ⅰ,"15,967,632",38.00,-2.81,"139,697","3,676","8,749",230,"139,315","3,666","8,725",230,"124,593","3,279","7,803",205,,,,,,,,,,,,,,,,,,
  Ⅱ,"16,036,952",38.00,4.50,"147,769","3,889","9,214",242,"147,027","3,869","9,168",241,"132,374","3,484","8,254",217,,,,,,,,,,,,,,,,,,
  Ⅲ,"16,101,248",38.00,10.67,"151,956","3,999","9,438",248,"150,615","3,964","9,354",246,"135,333","3,561","8,405",221,,,,,,,,,,,,,,,,,,
  Ⅳ,"16,180,614",38.00,12.34,"162,405","4,274","10,037",265,"161,526","4,251","9,983",263,"146,109","3,845","9,031",238,,,,,,,,,,,,,,,,,,
65年,"16,401,413",38.00,14.28,"721,583","18,989","43,995","1,158","716,567","18,857","43,689","1,150","645,348","16,983","39,347","1,035",,,,,,,,,,,,,,,,,,
  Ⅰ,"16,256,774",38.00,15.96,"168,312","4,429","10,342",272,"167,297","4,403","10,281",271,"150,517","3,961","9,250",243,,,,,,,,,,,,,,,,,,
  Ⅱ,"16,328,089",38.00,14.29,"177,474","4,670","10,858",286,"175,780","4,626","10,754",283,"158,535","4,172","9,699",255,,,,,,,,,,,,,,,,,,
  Ⅲ,"16,414,471",38.00,12.83,"181,952","4,788","11,074",292,"180,921","4,761","11,011",290,"162,603","4,279","9,896",260,,,,,,,,,,,,,,,,,,
  Ⅳ,"16,521,945",38.00,14.21,"193,845","5,102","11,721",308,"192,569","5,067","11,643",306,"173,693","4,571","10,502",277,,,,,,,,,,,,,,,,,,
66年,"16,730,895",38.00,11.41,"845,657","22,254","50,545","1,330","840,533","22,119","50,238","1,322","757,095","19,924","45,251","1,191",,,,,,,,,,,,,,,,,,
  Ⅰ,"16,615,413",38.00,11.98,"194,267","5,112","11,694",308,"193,971","5,105","11,675",307,"173,715","4,571","10,456",275,,,,,,,,,,,,,,,,,,
  Ⅱ,"16,688,719",38.00,13.97,"209,546","5,514","12,558",330,"207,510","5,461","12,435",327,"187,154","4,925","11,215",295,,,,,,,,,,,,,,,,,,
  Ⅲ,"16,765,038",38.00,9.19,"211,207","5,558","12,600",332,"210,454","5,538","12,554",330,"189,332","4,982","11,294",297,,,,,,,,,,,,,,,,,,
  Ⅳ,"16,844,369",38.00,10.64,"230,637","6,070","13,693",360,"228,598","6,015","13,574",358,"206,894","5,446","12,286",324,,,,,,,,,,,,,,,,,,
67年,"17,042,272",36.95,13.56,"1,011,501","27,375","59,352","1,606","1,009,170","27,312","59,216","1,603","913,778","24,730","53,618","1,451",,,,,,,,,,,,,,,,,,
  Ⅰ,"16,916,769",38.00,12.90,"228,875","6,008","13,524",355,"229,274","6,019","13,548",356,"206,893","5,431","12,225",321,,,,,,,,,,,,,,,,,,
  Ⅱ,"16,985,043",38.00,12.35,"248,057","6,511","14,599",383,"246,093","6,459","14,483",380,"223,260","5,860","13,140",345,,,,,,,,,,,,,,,,,,
  Ⅲ,"17,063,356",36.12,17.26,"258,919","7,150","15,168",419,"259,783","7,174","15,219",421,"235,426","6,501","13,792",381,,,,,,,,,,,,,,,,,,
  Ⅳ,"17,156,731",35.68,11.92,"275,650","7,706","16,061",449,"274,020","7,660","15,966",446,"248,199","6,938","14,461",404,,,,,,,,,,,,,,,,,,
68年,"17,372,779",36.00,8.83,"1,219,596","33,878","70,202","1,950","1,219,996","33,889","70,225","1,951","1,098,774","30,522","63,247","1,757",,,,,,,,,,,,,,,,,,
  Ⅰ,"17,238,277",35.94,10.73,"279,629","7,783","16,213",451,"280,347","7,803","16,255",453,"252,549","7,030","14,642",408,,,,,,,,,,,,,,,,,,
  Ⅱ,"17,311,551",36.01,9.93,"300,293","8,342","17,337",482,"301,037","8,363","17,380",483,"271,804","7,551","15,693",436,,,,,,,,,,,,,,,,,,
  Ⅲ,"17,393,858",36.06,7.64,"311,605","8,644","17,906",497,"311,801","8,650","17,917",497,"280,476","7,781","16,117",447,,,,,,,,,,,,,,,,,,
  Ⅳ,"17,492,224",36.03,7.30,"328,069","9,109","18,746",520,"326,811","9,073","18,673",518,"293,945","8,160","16,795",466,,,,,,,,,,,,,,,,,,
69年,"17,704,538",36.00,8.04,"1,522,625","42,295","86,002","2,389","1,520,519","42,237","85,883","2,386","1,363,321","37,870","77,004","2,139",,,,,,,,,,,,,,,,,,
  Ⅰ,"17,578,091",36.04,7.91,"349,969","9,710","19,901",552,"351,990","9,767","20,015",556,"315,513","8,755","17,941",498,,,,,,,,,,,,,,,,,,
  Ⅱ,"17,648,339",36.04,8.39,"373,902","10,374","21,177",588,"371,406","10,305","21,036",584,"333,232","9,246","18,874",524,,,,,,,,,,,,,,,,,,
  Ⅲ,"17,724,609",35.96,7.84,"383,668","10,668","21,637",602,"385,762","10,727","21,755",605,"345,401","9,604","19,479",542,,,,,,,,,,,,,,,,,,
  Ⅳ,"17,817,939",35.96,8.01,"415,086","11,543","23,287",647,"411,361","11,438","23,077",641,"369,175","10,265","20,710",575,,,,,,,,,,,,,,,,,,
