"幣別	按美元計算/ <b>總計</b>	按美元計算/ 動物產品	按美元計算/ 2.植物產品	按美元計算/ (1)食用蔬菜	按美元計算/ (2)食用果實及堅果	按美元計算/ 3.動植物油脂	按美元計算/ (1)調製食品	按美元計算/ (3)菸及菸葉代用品	按美元計算/ (1)有機化學品	按美元計算/ 7.塑膠、橡膠及其製品	按美元計算/ (1)塑膠原料	按美元計算/ (2)塑膠製品	按美元計算/ 8.毛皮及其製品	按美元計算/ 9.木及木製品	按美元計算/ 紙及其製品；印刷品	按美元計算/ 11.紡織品	按美元計算/ 13.非金屬礦物製品	按美元計算/ 14.珠寶及貴金屬製品	按美元計算/ 15.基本金屬及其製品	按美元計算/ (1)鋼鐵及其製品	按美元計算/ (2)其他基本金屬及其製品	按美元計算/ (1)電子零組件	按美元計算/ (2)機械	按美元計算/ (4)資通與視聽產品",,,,,,,,,,,,,,,,,
"97年 4月	""22","796.36""	117.521	34.545	8.919	4.393	7.997	50.68	3.644	""1","071.07""	""1","823.44""	""1","094.78""	503.847	99.722	23.235	145.112	""1","039.20""	130.882	228.297	""2","523.15""	""1","597.05""	926.097	""4","687.23""	""1","582.04""	""2","244.91""",,,,,,,
"97年 5月	""23","765.87""	131.993	33.609	9.159	5.796	6.326	47.636	3.623	""1","128.15""	""1","919.58""	""1","184.55""	510.807	105.033	22.662	150.223	""1","046.22""	135.402	151.814	""2","585.93""	""1","649.26""	936.678	""4","884.59""	""1","629.46""	""2","077.02""",,,,,,,
"97年 6月	""24","523.64""	149.01	40.07	6.984	5.141	7.396	49.24	3.404	""1","159.77""	""1","955.04""	""1","201.06""	508.625	94.622	21.472	137.17	963.744	132.636	177.769	""2","633.31""	""1","694.60""	938.705	""4","849.68""	""1","642.48""	""2","263.43""",,,,,,,,
"97年 7月	""23","081.49""	145.95	43.753	7.713	8.987	7.798	41.961	3.969	933.019	""1","845.04""	""1","116.38""	503.164	81.82	20.484	132.882	910.704	122.824	255.822	""2","566.52""	""1","638.72""	927.801	""5","141.96""	""1","560.66""	""2","284.06""",,,,,,,,,
"97年 8月	""25","412.54""	162.261	34.901	6.903	2.84	5.894	41.965	3.935	""1","070.56""	""1","884.40""	""1","102.23""	533.923	83.532	22.363	149.808	946.011	140.839	314.147	""2","718.43""	""1","751.11""	967.318	""5","701.81""	""1","661.96""	""2","432.32""",,,,,,,,
"97年 9月	""22","036.36""	140.971	32.302	4.881	2.779	5.246	37.442	2.364	776.859	""1","516.09""	814.233	486.171	80.391	18.207	124.183	898.592	123.173	146.304	""2","505.48""	""1","619.72""	885.763	""5","261.26""	""1","404.67""	""2","227.44""",,,,,,,,,,
"97年 10月	""20","963.64""	146.638	31.239	3.171	2.533	7.846	39.828	2.79	623.308	""1","524.79""	813.574	492.546	87.042	17.936	139.399	936.927	122.162	213.855	""2","363.41""	""1","552.15""	811.251	""4","843.46""	""1","428.88""	""2","187.06""",,,,,,,,,,
"97年 11月	""16","911.86""	132.918	30.924	3.901	2.246	5.487	47.964	2.446	442.872	""1","234.09""	637.753	403.538	91.462	17.353	113.437	788.944	109.563	190.231	""1","810.73""	""1","201.70""	609.034	""3","705.08""	""1","327.46""	""2","048.26""",,,,,,,,,,
"97年 12月	""13","744.14""	117.987	22.332	3.418	2.892	6.81	44.453	4.945	423.984	""1","055.34""	569.408	337.58	65.525	16.518	99.869	705.329	86.837	95.021	""1","692.92""	""1","169.10""	523.824	""2","721.39""	""1","158.08""	""1","771.37""",,,,,,,,,,
"98年 1月	""12","475.21""	134.553	24.597	5.376	3.636	5.801	34.838	1.552	379.969	932.95	510.372	305.168	54.059	13.907	84.956	570.612	68.165	145.718	""1","383.29""	933.204	450.091	""2","526.38""	""1","009.34""	""1","407.81""",,,,,,,,,,,,
"98年 2月	""12","728.11""	110.657	23.807	5.55	2.497	4.859	30.018	2.43	585.327	""1","084.37""	678.246	280.056	53.986	12.874	91.186	572.148	76.69	317.664	""1","322.48""	901.591	420.886	""2","685.98""	765.056	""1","281.81""",,,,,,,,,,,,
"98年 3月	""15","677.21""	93.015	27.114	7.159	3.773	5.588	42.659	4.507	522.945	""1","336.50""	773.567	403.99	77.953	14.974	121.179	836.586	98.733	523.896	""1","597.93""	""1","023.24""	574.694	""3","344.67""	""1","013.92""	""1","602.50""",,,,,,,,,,
"98年 4月	""14","952.22""	91.971	27.709	8.574	3.903	5.018	41.643	3.094	571.998	""1","308.05""	773.744	387.283	75.373	16.245	109.458	812.616	101.263	98.328	""1","452.61""	890.936	561.674	""3","786.00""	914.641	""1","490.70""",,,,,,,,,,,,
"98年 5月	""16","300.37""	95.95	35.574	8.47	5.391	5.689	46.47	2.057	720.39	""1","395.77""	816.415	414.442	76.511	15.384	121.272	840.031	126.916	151.282	""1","536.44""	947.437	589.001	""3","999.99""	939.392	""1","658.67""",,,,,,,,,,,,
"98年 6月	""17","063.82""	96.649	38.019	8.664	8.102	6.678	46.176	1.239	686.834	""1","423.38""	854.595	411.997	60.403	14.153	118.12	786.633	123.619	205.599	""1","567.00""	""1","011.37""	555.628	""4","037.15""	""1","028.15""	""1","804.27""",,,,,,,,,,
"98年 7月	""17","372.17""	106.918	32.367	7.863	6.451	5.679	44.396	2.971	777.914	""1","476.24""	871.037	444.835	55.926	15.316	119.377	782.22	117.141	123.447	""1","565.46""	976.827	588.636	""4","442.07""	919.765	""1","763.60""",,,,,,,,,,,,
"98年 8月	""19","127.88""	109.781	26.539	6.424	1.82	5.263	50.001	2.486	807.653	""1","563.47""	941.226	453.735	57.346	15.163	130.605	793.246	138.728	129.686	""1","751.49""	""1","086.99""	664.502	""4","927.05""	""1","023.85""	""1","826.11""",,,,,,,,,,
"98年 9月	""19","219.31""	106.71	24.909	4.45	2.394	6.247	47.39	2.335	750.622	""1","443.01""	814.096	454.169	65.73	15.126	128.499	802.184	139.943	144.636	""1","737.11""	""1","078.71""	658.398	""5","076.29""	""1","002.55""	""1","920.91""",,,,,,,,,,
"98年 10月	""19","975.73""	106.358	24.832	3.247	1.414	5.838	45.478	2.581	671.11	""1","521.87""	868.756	475.896	69.746	15.887	136.131	863.052	135.232	312.798	""1","842.07""	""1","178.92""	663.148	""5","161.48""	""1","124.50""	""2","231.00""",,,,,,,,,,
"98年 11月	""20","153.38""	110.81	26.82	3.639	2.046	7.458	51.326	1.864	816.042	""1","517.54""	908.049	430.68	69.299	16.443	138.174	833.376	120.967	266.036	""1","810.61""	""1","149.46""	661.151	""5","146.76""	""1","097.87""	""2","407.49""",,,,,,,,,,
"98年 12月	""20","156.35""	99.071	29.941	4.229	4.26	7.991	54.894	7.662	909.594	""1","572.71""	925.502	456.899	57.14	15.648	134.622	843.963	134.084	426.417	""1","840.58""	""1","149.21""	691.37	""4","898.87""	""1","245.93""	""2","301.83""",,,,,,,,,,
"99年 1月	""21","895.91""	113.943	33.756	6.208	4.907	8.403	57.876	1.295	946.169	""1","754.43""	""1","066.84""	494.965	61.804	15.84	147.442	828.074	146.671	296.173	""2","034.59""	""1","264.88""	769.714	""5","431.92""	""1","254.81""	""2","267.49""",,,,,,,,,
"99年 2月	""16","805.59""	100.248	26.31	6.241	3.978	6.114	33.173	1.045	756.396	""1","269.43""	736.659	379.725	42.232	11.451	99.722	595.384	111.98	128.935	""1","563.06""	997.373	565.69	""4","313.46""	""1","052.86""	""1","742.22""",,,,,,,,,,,
"99年 3月	""23","567.40""	133.734	36.483	8.502	4.284	7.182	55.66	2.428	""1","242.78""	""2","002.89""	""1","220.72""	554.238	82.238	16.77	159.486	""1","022.90""	164.718	191.912	""2","261.35""	""1","435.84""	825.513	""5","568.85""	""1","433.70""	""2","461.98""",,,,,,,
"99年 4月	""22","093.56""	116.026	32.968	9.297	4.069	6.854	57.054	3.792	963.151	""1","880.87""	""1","127.79""	542.725	84.532	17.099	147.156	988.996	145.74	158.694	""2","079.53""	""1","289.78""	789.745	""5","426.86""	""1","367.87""	""2","348.67""",,,,,,,,,
"99年 5月	""25","708.45""	137.489	40.693	9.674	5.215	7.697	64.853	3.519	""1","169.11""	""2","080.66""	""1","247.66""	596.596	99.521	19.396	165.986	""1","119.81""	172.009	383.815	""2","496.13""	""1","584.20""	911.925	""5","955.18""	""1","591.01""	""2","560.00""",,,,,,,
"99年 6月	""22","981.62""	112.236	44.369	7.892	11.765	5.672	57.025	3.488	947.205	""1","756.58""	988.967	542.953	78.751	16.495	157.338	952.833	166.783	432.548	""2","181.47""	""1","379.04""	802.431	""5","583.24""	""1","492.15""	""2","548.15""",,,,,,,,,,
"99年 7月	""24","140.12""	149.072	38.567	8.938	7.126	5.841	53.026	5.014	961.543	""1","865.50""	""1","080.83""	565.479	83.305	16.497	146.243	943.359	162.298	135.069	""2","176.09""	""1","343.60""	832.491	""6","029.95""	""1","625.74""	""2","593.86""",,,,,,,,,
"99年 8月	""24","321.28""	155.31	34.787	6.862	3.136	7.014	59.221	4.708	895.196	""2","020.57""	""1","175.45""	598.152	80.61	16.273	152.3	935.857	165.764	113.444	""2","272.70""	""1","426.65""	846.048	""6","175.51""	""1","678.72""	""2","675.86""",,,,,,,,,
"99年 9月	""22","671.11""	133.208	29.935	5.339	3.218	7.521	58.866	3.958	821.056	""1","753.77""	""1","027.31""	522.598	71.512	16.299	136.432	905.403	161.352	321.639	""2","114.98""	""1","346.01""	768.967	""6","172.99""	""1","468.30""	""2","649.47""",,,,,,,,,
"99年 10月	""24","468.76""	158.003	35.265	4.93	2.161	8.381	63.583	3.845	790.215	""1","964.34""	""1","194.12""	538.565	78.297	15.884	153.102	""1","016.56""	183.307	343.522	""2","268.54""	""1","462.29""	806.248	""6","506.53""	""1","653.97""	""3","024.89""",,,,,,,,
"99年 11月	""24","645.27""	132.982	31.891	4.382	2.339	8.899	68.871	6.255	968.456	""2","004.70""	""1","223.74""	543.06	77.336	17.101	158.752	""1","026.95""	180.236	263.226	""2","285.12""	""1","469.70""	815.416	""5","987.68""	""1","674.11""	""3","235.06""",,,,,,,,
"99年 12月	""24","053.01""	127.981	34.728	5.184	3.446	9.06	70.244	5.183	884.642	""1","980.02""	""1","173.93""	556.926	66.47	16.116	148.979	970.996	178.278	346.782	""2","260.87""	""1","420.78""	840.093	""5","939.34""	""1","680.87""	""3","097.69""",,,,,,,,,
"100年 1月	""25","608.80""	137.838	40.74	7.832	6.084	9.116	73.56	4.029	""1","109.60""	""2","055.95""	""1","217.69""	602.598	64.567	15.061	153.646	""1","026.06""	198.355	253.246	""2","509.64""	""1","595.94""	913.704	""6","461.94""	""1","715.53""	""2","926.05""",,,,,,,
"100年 2月	""21","496.23""	199.851	30.955	7.478	2.548	6.94	43.045	1.099	""1","308.04""	""1","856.88""	""1","181.35""	467.435	52.45	12.267	127.268	867.964	164.341	200.977	""1","962.14""	""1","258.24""	703.895	""5","342.98""	""1","358.18""	""2","360.70""",,,,,,,,
"100年 3月	""27","550.79""	184.32	47.449	11.666	4.706	10.051	75.333	4.929	""1","434.79""	""2","342.39""	""1","414.73""	626.683	86.04	16.629	156.607	""1","239.44""	204.913	495.218	""2","731.55""	""1","696.77""	""1","034.78""	""6","321.84""	""1","914.88""	""2","965.75""",,,,,,
"100年 4月	""27","610.14""	135.971	46.964	15.346	6.205	8.644	74.305	3.906	""1","398.95""	""2","287.71""	""1","380.36""	628.211	94.682	17.927	164.903	""1","197.05""	238.314	464.19	""2","664.68""	""1","686.49""	978.184	""6","656.88""	""1","926.46""	""3","161.82""",,,,,,,
"100年 5月	""28","178.99""	137.741	48.58	14.711	4.959	6.603	79.575	6.379	""1","307.03""	""2","286.02""	""1","323.00""	647.273	94.25	19.762	173.622	""1","157.49""	233.106	637.077	""2","744.32""	""1","749.38""	994.946	""6","538.25""	""2","036.40""	""3","354.63""",,,,,,,
"100年 6月	""25","453.53""	174.103	46.907	10.368	10.41	8.278	59.159	4.804	963.058	""2","015.28""	""1","132.79""	595.184	79.913	16.22	164.41	""1","018.51""	216.521	344.223	""2","446.61""	""1","566.50""	880.112	""6","041.09""	""1","840.70""	""3","240.38""",,,,,,,,
"100年 7月	""28","476.92""	173.838	50.73	10.048	11.201	8.659	60.389	6.572	""1","012.92""	""2","419.77""	""1","477.51""	630.464	75.746	17.655	168.892	""1","084.47""	256.948	397.656	""2","771.44""	""1","761.30""	""1","010.14""	""6","950.02""	""1","924.77""	""3","552.91""",,,,,,
"100年 8月	""26","149.33""	195.413	38.943	8.524	4.663	8.53	70.53	6.561	""1","068.57""	""2","150.58""	""1","253.00""	605.659	75.676	20.417	164.008	""1","037.64""	226.662	547.829	""2","690.59""	""1","713.41""	977.185	""6","374.45""	""1","961.60""	""3","043.67""",,,,,,,
"100年 9月	""24","982.94""	153.459	35.507	6.298	3.398	8.108	63.497	3.12	928.115	""1","936.56""	""1","096.86""	576.884	69.82	19.174	155.419	""1","031.01""	220.239	915.307	""2","457.10""	""1","573.86""	883.242	""6","343.24""	""1","737.00""	""2","882.01""",,,,,,,,
"100年 10月	""27","437.27""	154.337	39.07	6.668	2.431	9.208	77.923	6.649	""1","053.45""	""2","049.45""	""1","171.45""	591.27	91.244	19.012	172.647	""1","125.21""	221.271	451.085	""2","601.28""	""1","679.89""	921.398	""6","605.75""	""1","845.48""	""3","446.56""",,,,,,,
"100年 11月	""24","943.84""	174.631	35.145	6.035	3.295	14.032	76.841	9.438	956.787	""1","906.40""	""1","091.04""	557.855	72.685	19.578	158.464	979.283	215.82	343.385	""2","378.12""	""1","549.78""	828.345	""5","870.29""	""1","742.07""	""3","001.90""",,,,,,,,,
"100年 12月	""24","293.62""	167.879	43.564	6.796	6.399	9.81	83.817	6.67	910.479	""2","023.74""	""1","185.43""	557.458	66.25	18.618	151.246	950.706	221.243	306.462	""2","358.98""	""1","524.00""	834.977	""5","965.79""	""1","801.60""	""2","825.37""",,,,,,,,,
"101年 1月	""21","372.58""	186.066	39.688	7.723	8.482	9.229	64.286	4.856	""1","004.64""	""1","693.02""	929.462	511.643	56.499	15.94	130.349	878.782	216.778	239.187	""2","287.38""	""1","496.97""	790.412	""4","958.76""	""1","608.12""	""2","201.83""",,,,,,,,,
"101年 2月	""23","768.10""	165.432	41.469	9.215	4.071	9.667	64.537	6.357	""1","082.12""	""2","086.74""	""1","295.53""	525.456	64.286	14.607	162.865	958.961	225.433	273.404	""2","232.76""	""1","433.46""	799.302	""5","687.37""	""1","583.50""	""2","413.22""",,,,,,,,
"101年 3月	""26","738.11""	180.664	49.899	13.282	6.719	9.471	76.887	7.532	""1","308.76""	""2","220.65""	""1","322.13""	619.113	85.499	19.293	179.805	""1","127.74""	229.435	393.39	""2","537.31""	""1","639.13""	898.175	""6","383.89""	""1","778.12""	""2","809.23""",,,,,,,
"101年 4月	""25","877.14""	180.758	44.564	12.093	6.077	8.468	74.961	8.626	""1","043.79""	""2","103.84""	""1","205.44""	610.378	90.418	19.424	172.95	""1","089.52""	235.774	356.515	""2","505.88""	""1","584.47""	921.419	""6","279.36""	""1","840.46""	""2","798.56""",,,,,,,
"101年 5月	""26","439.61""	188.422	47.489	12.02	4.696	9.296	90.662	6.119	""1","005.31""	""2","135.41""	""1","217.77""	634.493	95.605	18.78	181.284	""1","042.43""	236.226	369.181	""2","553.42""	""1","602.42""	950.998	""6","377.93""	""1","971.94""	""2","735.67""",,,,,,,
"101年 6月	""24","749.64""	192.419	49.063	11.111	9.769	7.516	78.528	10.362	969.78	""1","952.69""	""1","083.26""	596.182	78.278	16.61	166.168	941.525	239.509	261.049	""2","281.98""	""1","467.80""	814.174	""6","251.11""	""1","848.16""	""2","605.49""",,,,,,,,,
"101年 7月	""25","223.41""	184.304	46.31	9.963	8.322	8.082	81.102	8.032	797.505	""2","105.96""	""1","216.91""	610.278	75.05	19.999	186.761	948.426	252.66	215.827	""2","435.57""	""1","550.14""	885.427	""6","461.18""	""1","956.08""	""2","695.40""",,,,,,,,,
"101年 8月	""25","045.06""	194.59	40.928	8.696	2.945	7.281	81.633	5.299	787.537	""1","958.68""	""1","108.78""	601.052	74.934	17.32	159.14	907.567	263.66	242.787	""2","230.75""	""1","352.37""	878.376	""6","492.73""	""1","781.63""	""2","497.21""",,,,,,,,,
"101年 9月	""27","511.42""	212.75	45.655	8.073	3.78	9.88	94.098	6.343	""1","033.40""	""2","047.11""	""1","142.12""	633.747	80.469	19.286	169.775	""1","015.36""	290.805	459.157	""2","404.34""	""1","505.36""	898.98	""7","011.31""	""1","853.39""	""2","572.02""",,,,,,,
"101年 10月	""26","883.81""	167.034	43.214	6.279	2.236	8.018	94.865	9.314	995.391	""2","082.35""	""1","167.73""	647.906	88.987	19.762	181.957	""1","064.85""	281.121	430.255	""2","427.88""	""1","506.68""	921.205	""6","527.59""	""1","830.93""	""2","615.22""",,,,,,,,
"101年 11月	""25","234.23""	191.918	38.304	7.052	2.788	8.588	90.204	7.46	908.813	""1","890.17""	""1","075.45""	592.113	81.678	18.907	164.967	906.695	233.383	279.56	""2","051.26""	""1","243.45""	807.81	""6","397.07""	""1","645.25""	""2","799.55""",,,,,,,,,
"101年 12月	""26","471.55""	171.851	48.117	7.919	5.452	11.541	98.922	6.434	""1","049.00""	""2","082.11""	""1","220.08""	611.332	77.217	16.116	158.269	961.825	243.622	428.655	""2","299.71""	""1","413.28""	886.43	""6","387.90""	""1","721.13""	""2","810.05""",,,,,,,,
"102年 1月	""26","025.29""	204.463	51.006	9.319	9.883	10.937	91.794	8.259	""1","090.42""	""2","074.96""	""1","231.56""	598.21	65.334	17.085	162.533	923.789	270.049	292.587	""2","479.50""	""1","573.83""	905.67	""6","210.92""	""1","667.19""	""2","406.39""",,,,,,,,
"102年 2月	""19","930.80""	149.367	36.307	8.69	6.413	6.388	52.109	2.922	""1","058.24""	""1","547.88""	916.848	430.741	46.785	12.481	122.722	685.934	200.629	191.351	""1","753.17""	""1","133.10""	620.068	""4","819.65""	""1","150.48""	""1","870.27""",,,,,,,,,
"102年 3月	""27","723.48""	174.106	54.048	13.284	8.444	9.455	96.424	5.863	""1","215.72""	""2","211.30""	""1","286.50""	648.508	93.507	17.861	177.203	""1","131.14""	264.926	194.004	""2","549.26""	""1","648.87""	900.394	""6","839.89""	""1","767.53""	""2","641.93""",,,,,,,
"102年 4月	""25","491.56""	165.384	49.625	10.505	8.163	8.838	94.197	8.24	899.22	""1","988.17""	""1","145.68""	592.271	89.808	19.094	156.416	""1","042.92""	233.919	168.673	""2","306.28""	""1","458.67""	847.611	""6","567.95""	""1","778.38""	""2","606.72""",,,,,,,,
"102年 5月	""27","104.46""	167.932	47.778	11.268	6.676	10.451	104.873	6.719	956.054	""2","267.88""	""1","377.44""	636.441	95.642	19.774	172.946	""1","049.65""	211.931	126.432	""2","429.42""	""1","546.12""	883.305	""7","182.93""	""1","822.13""	""2","913.52""",,,,,,,,
"102年 6月	""26","958.43""	192.626	53.456	10.111	11.941	19.609	98.517	8.614	""1","105.95""	""2","158.96""	""1","299.10""	612.417	86.783	19.723	169.891	999.16	206.227	146.042	""2","258.69""	""1","381.63""	877.061	""6","989.48""	""1","807.65""	""2","780.63""",,,,,,,,
"102年 7月	""25","802.96""	195.237	56.391	8.914	10.649	9.172	98.166	8.12	896.278	""2","168.49""	""1","287.30""	633.617	79.502	19.177	167.85	949.554	214.404	187.347	""2","331.45""	""1","450.64""	880.809	""6","737.48""	""1","898.53""	""2","630.99""",,,,,,,,,
"102年 8月	""25","997.28""	176.02	43.915	9.484	4.24	8.702	100.582	8.234	""1","110.33""	""2","124.25""	""1","273.86""	613.529	78.357	19.538	164.116	955.46	216.331	193.512	""2","349.37""	""1","454.40""	894.969	""6","962.64""	""1","801.10""	""2","558.91""",,,,,,,,
"102年 9月	""25","673.99""	184.395	38.984	6.208	3.848	7.934	97.223	7.556	""1","021.28""	""2","009.69""	""1","201.76""	580.902	78.258	18.351	155.42	974.614	210.588	166.609	""2","240.90""	""1","402.14""	838.761	""7","143.98""	""1","678.81""	""2","559.92""",,,,,,,,
"102年 10月	""27","141.51""	170.198	41.327	6.239	2.894	10.637	112.178	6.965	965.835	""2","176.51""	""1","291.25""	642.777	91.992	22.02	180.194	""1","088.16""	217.137	195.314	""2","479.17""	""1","565.97""	913.199	""7","074.67""	""1","868.75""	""2","806.37""",,,,,,,,
"102年 11月	""26","237.91""	149.129	42.864	6.328	4.769	7.545	121.222	6.657	""1","011.43""	""2","062.60""	""1","250.95""	601.13	87.697	20.85	165.799	968.077	213.139	239.734	""2","171.51""	""1","345.46""	826.05	""7","185.51""	""1","755.23""	""2","650.97""",,,,,,,,
"102年 12月	""26","777.98""	152.85	51.644	7.8	9.365	9.401	117.49	13.612	961.285	""2","184.67""	""1","327.65""	623.548	74.816	20.028	156.626	958.234	225.176	158.585	""2","399.44""	""1","485.75""	913.693	""6","880.26""	""1","990.01""	""2","646.34""",,,,,,,,,
"103年 1月	""24","745.87""	186.582	46.735	10.295	10.734	9.016	104.326	8.527	""1","151.24""	""1","895.15""	""1","087.23""	602.914	67.051	17.644	143.51	849.261	185.565	116.421	""2","432.60""	""1","572.30""	860.3	""6","694.53""	""1","621.53""	""2","338.58""",,,,,,,,
"103年 2月	""21","591.88""	162.097	39.405	9.236	4.815	8.474	67.884	6.648	993.394	""1","796.00""	""1","109.89""	487.159	57.518	14.595	129.844	789.964	185.508	226.008	""1","966.32""	""1","275.05""	691.271	""5","735.28""	""1","434.72""	""1","897.56""",,,,,,,,,
"103年 3月	""28","255.04""	224.274	59.674	12.038	9.408	10.454	118.057	7.883	""1","150.61""	""2","171.82""	""1","250.60""	659.188	103.745	19.143	170.867	""1","115.44""	235.53	319.19	""2","551.31""	""1","638.18""	913.129	""7","270.46""	""1","957.62""	""2","717.60""",,,,,,,
"103年 4月	""27","105.70""	177.845	50.976	10.571	9.827	10.044	120.722	13.487	""1","015.88""	""2","182.14""	""1","278.35""	656.61	106.785	18.617	168.295	""1","050.32""	223.667	267.844	""2","463.65""	""1","577.07""	886.584	""7","393.46""	""1","877.51""	""2","651.48""",,,,,,,
"103年 5月	""27","151.23""	182.6	48.986	12.021	6.32	9.313	123.612	10.948	""1","051.46""	""2","190.79""	""1","300.73""	661.355	103.201	21.024	169.714	""1","037.51""	226.004	165.545	""2","437.30""	""1","535.77""	901.53	""7","758.28""	""1","899.57""	""2","748.35""",,,,,,,
"103年 6月	""27","335.95""	196.328	61.108	10.905	12.115	8.245	107.902	7.161	""1","045.24""	""2","141.09""	""1","269.21""	634.196	93.718	19.587	168.613	985.631	259.331	169.557	""2","539.32""	""1","624.86""	914.458	""7","492.91""	""2","072.93""	""2","713.24""",,,,,,,,
"103年 7月	""27","269.26""	171.012	62.932	11.322	13.924	8.534	108.76	10.135	""1","076.85""	""2","133.06""	""1","256.03""	644.544	93.167	15.988	160.517	933.32	249.127	255.438	""2","515.32""	""1","601.69""	913.635	""7","706.23""	""1","910.54""	""2","410.27""",,,,,,,,
"103年 8月	""28","551.58""	172.923	52.702	9.289	7.225	9.368	111.267	11.056	""1","025.39""	""2","142.99""	""1","240.53""	662.214	103.141	20.127	169.839	998.106	240.781	168.558	""2","584.63""	""1","594.75""	989.884	""8","353.95""	""1","991.90""	""2","657.98""",,,,,,,,
"103年 9月	""26","833.37""	181.919	46.315	6.676	3.887	7.46	96.541	9.415	941.233	""1","823.43""	993.552	611.278	92.402	17.569	156.063	966.196	230.325	178.339	""2","401.83""	""1","524.77""	877.058	""8","029.55""	""1","755.90""	""2","675.32""",,,,,,,,,,
"103年 10月	""27","303.84""	162.062	45.942	7.637	2.426	6.574	105.796	7.675	795.593	""1","983.85""	""1","107.33""	652.537	94.787	18.777	168.163	""1","007.63""	223.316	150.037	""2","439.67""	""1","529.93""	909.734	""8","253.88""	""1","851.91""	""2","766.76""",,,,,,,,
"103年 11月	""27","205.13""	153.002	47.711	6.835	3.77	6.488	110.123	7.486	911.532	""1","973.40""	""1","124.02""	620.861	94.413	19.635	164.87	971.361	219.384	215.228	""2","379.20""	""1","484.32""	894.879	""7","897.74""	""1","870.76""	""2","822.19""",,,,,,,,,
"103年 12月	""26","064.45""	150.705	48.781	6.69	7.866	6.186	106.341	12.092	879.598	""1","924.13""	""1","072.31""	615.153	73.81	14.776	154.413	909.059	241.241	261.205	""2","407.98""	""1","498.08""	909.903	""7","572.61""	""2","005.09""	""2","606.96""",,,,,,,,,
"104年 1月	""25","433.46""	171.313	56.084	11.395	11.125	11.643	112.284	6.274	837.969	""1","909.28""	""1","074.23""	616.549	75.407	16.293	149.272	906.357	220.105	303.177	""2","454.39""	""1","516.00""	938.388	""7","558.21""	""1","882.31""	""2","577.57""",,,,,,,,,
"104年 2月	""20","091.72""	150.072	45.493	8.755	12.363	7.673	65.66	5.535	672.096	""1","388.48""	755.533	467.172	56.174	11.321	113.207	716.683	161.493	268.628	""1","824.68""	""1","138.18""	686.496	""6","056.38""	""1","450.08""	""2","102.18""",,,,,,,,,,
"104年 3月	""25","559.21""	193.267	61.895	11.127	12.921	6.553	98.487	10.776	950.083	""1","988.81""	""1","173.25""	588.485	89.936	17.571	152.058	""1","037.98""	203.777	221.124	""2","285.54""	""1","437.74""	847.806	""7","332.46""	""1","834.31""	""2","861.17""",,,,,,,,
"104年 4月	""23","786.26""	149.069	60.473	11.005	16.216	7.253	107.71	8.351	754.584	""1","828.70""	""1","051.39""	566.864	88.081	15.138	143.194	991.336	185.91	223.032	""2","150.30""	""1","348.39""	801.91	""7","137.30""	""1","738.13""	""2","685.84""",,,,,,,,,
"104年 5月	""25","931.33""	143.813	63.093	11.112	14.707	8.792	114.656	9.043	903.634	""2","024.91""	""1","155.47""	634.213	99.467	16.305	159.919	""1","056.07""	206.281	233.991	""2","354.11""	""1","406.96""	947.15	""7","344.06""	""2","044.29""	""2","669.59""",,,,,,,,
"104年 6月	""23","382.86""	163.892	62.299	9.856	19.187	8.02	100.556	12.072	748.553	""1","750.32""	986.567	548.051	74.629	14.337	147.969	895.446	193.095	157.317	""2","118.18""	""1","274.07""	844.11	""6","673.79""	""1","782.35""	""2","399.19""",,,,,,,,,,
"104年 7月	""23","802.53""	160.882	62.153	11.401	15.298	7.082	99.425	8.47	678.975	""1","777.73""	990.148	576.84	62.605	15.252	143.655	855.547	198.091	119.883	""2","227.79""	""1","333.74""	894.053	""7","531.14""	""1","706.95""	""2","484.76""",,,,,,,,,,
"104年 8月	""24","234.48""	127.211	57.41	9.589	6.874	6.952	100.446	8.25	705.029	""1","777.40""	969.78	586.073	68.237	15.701	153.108	918.105	200.059	134.579	""2","210.10""	""1","278.92""	931.179	""7","365.58""	""1","744.47""	""2","553.97""",,,,,,,,,,
"104年 9月	""22","910.03""	140.537	48.375	6.362	5.429	6.458	93.219	10.14	585.422	""1","620.81""	875.414	542.265	63.744	14.397	132.21	863.505	196.469	206.676	""2","006.28""	""1","181.68""	824.599	""7","213.96""	""1","551.13""	""2","472.52""",,,,,,,,,,
"104年 10月	""24","342.21""	163.052	49.307	6.831	2.171	6.981	104.983	5.791	653.34	""1","805.84""	""1","028.89""	570.772	65.517	14.033	142.053	933.016	189.783	204.853	""1","980.45""	""1","141.00""	839.453	""7","864.68""	""1","582.07""	""2","631.39""",,,,,,,,,
"104年 11月	""22","524.85""	148.443	56.916	6.259	4.666	7.451	108.63	8.418	627.986	""1","634.97""	906.018	530.172	59.937	16.198	142.755	838.453	204.436	178.617	""1","870.52""	""1","067.04""	803.477	""6","922.07""	""1","668.37""	""2","572.01""",,,,,,,,,,
"104年 12月	""22","435.04""	151.225	63.695	8.619	10.331	7.796	108.962	14.01	569.141	""1","621.86""	875.005	556.829	52.623	15.268	136.81	810.573	194.243	177.03	""1","989.83""	""1","174.72""	815.11	""6","912.77""	""1","647.33""	""2","467.86""",,,,,,,,,,
