"幣別	按美元計算/ <b>總計</b>	按美元計算/ 動物產品	按美元計算/ 2.植物產品	按美元計算/ (1)食用蔬菜	按美元計算/ (2)食用果實及堅果	按美元計算/ 3.動植物油脂	按美元計算/ (1)調製食品	按美元計算/ (3)菸及菸葉代用品	按美元計算/ (1)有機化學品	按美元計算/ 7.塑膠、橡膠及其製品	按美元計算/ (1)塑膠原料	按美元計算/ (2)塑膠製品	按美元計算/ 8.毛皮及其製品	按美元計算/ 9.木及木製品	按美元計算/ 紙及其製品；印刷品	按美元計算/ 11.紡織品	按美元計算/ 13.非金屬礦物製品	按美元計算/ 14.珠寶及貴金屬製品	按美元計算/ 15.基本金屬及其製品	按美元計算/ (1)鋼鐵及其製品	按美元計算/ (2)其他基本金屬及其製品	按美元計算/ (1)電子零組件	按美元計算/ (2)機械	按美元計算/ (4)資通與視聽產品",,,,,,,,,,,,,,,,,
"90年 11月	""10","515.62""	111.14	18.26	3.423	0.951	2.903	27.655	0.851	107.008	605.647	248.257	277.875	75.122	25.342	79.692	927.467	67.71	14.977	849.572	513.962	335.61	""1","834.27""	803.142	""2","953.08""",,,,,,,,,,,,,,
"90年 12月	""10","669.48""	106.202	23.051	3.317	1.02	3.071	30.043	0.979	121.233	630.153	267.491	279.945	78.387	24.939	79.239	933.557	66.319	16.874	922.502	564.62	357.882	""1","736.48""	874.726	""2","810.54""",,,,,,,,,,,,,,
"91年 1月	""10","051.54""	101.87	20.781	3.835	0.784	3.203	26.983	0.143	127.162	663.515	304.241	272.507	57.539	26.046	78.248	830.402	72.338	19.953	954.717	602.172	352.545	""1","730.30""	875.272	""2","349.62""",,,,,,,,,,,,,,
"91年 2月	""8","303.38""	80.104	15.201	3.204	0.604	2.186	18.908	0.328	99.217	513.829	232.666	215.819	40.906	17.748	55.292	659.237	57.706	8.446	705.432	434.464	270.968	""1","511.50""	628.087	""2","197.48""",,,,,,,,,,,,,,
"91年 3月	""11","925.11""	104.753	24.11	5.16	3.268	3.861	31.117	0.262	137.396	811.517	389.693	316.929	85.174	27.106	91.987	""1","043.55""	82.485	10.494	""1","082.07""	677.833	404.235	""1","923.84""	""1","000.62""	""2","892.69""",,,,,,,,,,,
"91年 4月	""11","288.03""	100.185	26.527	8.123	5.343	2.956	29.859	0.082	139.817	756.046	334.962	321.554	94.841	26.563	88.106	""1","088.82""	84.97	12.58	""1","022.72""	612.586	410.13	""1","830.48""	983.436	""2","564.66""",,,,,,,,,,,,
"91年 5月	""11","422.80""	100.953	33.562	9.501	4.144	2.982	30.685	0.63	124.594	741.858	318.244	328.856	98.383	26.015	94.327	""1","141.21""	83.236	17.985	""1","055.42""	635.4	420.018	""1","899.50""	""1","004.42""	""2","485.29""",,,,,,,,,,,
"91年 6月	""11","652.05""	103.44	25.882	8.058	4.876	2.857	38.457	0.09	121.98	765.234	354.532	308.958	92.612	27.216	96.245	""1","154.98""	83.755	14.623	""1","076.74""	678.034	398.702	""1","926.09""	990.56	""2","572.65""",,,,,,,,,,,,
"91年 7月	""11","581.45""	116.576	28.354	8.317	3.993	2.529	32.056	0.275	156.966	772.243	355.832	315.469	87.12	27.315	95.397	""1","129.38""	81.861	14.255	""1","083.56""	662.533	421.029	""1","957.46""	""1","003.74""	""2","523.14""",,,,,,,,,,,
"91年 8月	""11","305.27""	103.979	21.555	8.719	1.134	2.819	25.691	0.974	206.457	777.252	376.635	300.086	75.259	27.039	92.968	""1","034.87""	80.848	10.192	""1","060.84""	658.908	401.936	""2","082.96""	983.112	""2","454.49""",,,,,,,,,,,,
"91年 9月	""11","762.88""	99.906	19.564	4.965	1.234	3.254	25.8	0.946	204.509	727.379	347.288	287.435	82.641	26.11	86.303	""1","043.43""	77.649	14.772	""1","098.90""	683.514	415.39	""2","159.37""	962.382	""2","645.99""",,,,,,,,,,,,
"91年 10月	""11","921.96""	116.347	16.211	3.04	1.078	2.744	27.538	0.749	181.86	768.739	379.991	294.995	83.341	24.918	95.634	""1","054.54""	76.579	12.676	""1","087.83""	675.9	411.926	""2","102.26""	997.604	""2","803.33""",,,,,,,,,,,,
"91年 11月	""12","356.73""	126.123	17.167	3.268	1.577	3.109	31.506	0.508	189.313	779.442	382.134	299.82	82.374	23.841	90.621	993.022	77.001	10.575	""1","144.24""	737.977	406.263	""2","169.76""	""1","014.86""	""2","973.50""",,,,,,,,,,,,
